HugoDrax@DraxCorp.io,       Moonraker DraxCorp LEO
Auric@Goldfinger.io,        Goldfinger NL
Oddjob@Goldfinger.io,       Goldfinger 
Scaramanga@island.io,       TheManWithTheGoldenGun HK
ErnstBlofeld@Spectre.org,   Spectre Thunderball Spectre/iOS
EmilioLargo@Spectre.org,    Spectre Thunderball Spectre/iOS
RosaKlebb@Spectre.org,      Spectre Thunderball Spectre/Android
IrmaBunt@Spectre.org,       Spectre Thunderball Spectre/Android
MrWhite@Spectre.org,        Spectre Thunderball Spectre/Android Spectre/iOS
DominicGreene@Spectre.org,  Spectre Thunderball
LeChiffre@Spectre.org,      Spectre CasinoRoyale EU
RaoulSilva@Spectre.org,     Spectre FromRussiaWithLove Turkey
MrHinx@Spectre.org,         Spectre FromRussiaWithLove Turkey
Primo@Spectre.org,          Spectre FromRussiaWithLove Turkey
FelixLeiter@NOC.org,        CIA Thunderball CasinoRoyale US NATO
JBond@UniversalExports.org, MI6 FromRussiaWithLove Thunderball TheManWithTheGoldenGun CasinoRoyale NATO
